artist,name,region,url
韦礼安,如果可以,China,https://www.youtube.com/watch?v=FJ6UeySFpm4&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
魏嘉瑩,達拉崩吧,China,https://www.youtube.com/watch?v=zhL2tdKh4Yw&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
王心凌,劈你的雷正在路上,China,https://www.youtube.com/watch?v=X6-ZAvdaEbo&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
吳青峰,起風了,China,https://www.youtube.com/watch?v=gCjbJ39qwZ0&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
蔡依林,甜秘密,China,https://www.youtube.com/watch?v=XZDTAP8fxtw&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
田馥甄,無人知曉,China,https://www.youtube.com/watch?v=uM-oHq9U7Ik&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
楊丞琳,BAD LADY,China,https://www.youtube.com/watch?v=S4PAPTZ49Fk&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
楊丞琳&王心凌,女孩們,China,https://www.youtube.com/watch?v=hrYQO7E1bgU&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
婁峻碩,COLORFUL,China,https://www.youtube.com/watch?v=jMWh9WmnygA&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
盧廣仲,刻在我心底的名字,China,https://www.youtube.com/watch?v=VwoMvCMc8Rg&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
蘇打綠,沙發裡有沙發Radio,China,https://www.youtube.com/watch?v=Aez27p2JxoE&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
BLACKPINK,HOW YOU LIKE THAT,China,https://www.youtube.com/watch?v=NF0FoC5w5Xk&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
田馥甄,皆可,China,https://www.youtube.com/watch?v=R1VigxjQh9U&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
田馥甄,一一,China,https://www.youtube.com/watch?v=40UdsIclK9c&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
蔡依林,愛的羅曼死,China,https://www.youtube.com/watch?v=o2GJTYuujo0&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
蔡依林,布拉格廣場,China,https://www.youtube.com/watch?v=LyzW5OyPm0w&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
林俊傑,偉大的渺小,China,https://www.youtube.com/watch?v=DkuHZjr_m8I&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
周杰倫&阿信,說好不哭,China,https://www.youtube.com/watch?v=QEzZzjecd40&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
蔡依林,紅衣女孩,China,https://www.youtube.com/watch?v=4IXCUrzXODM&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
