artist,name,region,url
方大同,三人游,China,https://www.youtube.com/watch?v=EhULb2aLIqg
田馥甄,小幸运,China,https://www.youtube.com/watch?v=htOpOJ3jv-4&ab_channel=K%E6%AD%8C%E7%8E%8B%E8%BF%B7%E4%BD%A0KTV
莫文蔚,这世界那么多人,China,https://youtu.be/8brPVuNSh9c
周杰伦&张惠妹,不该,China,https://youtu.be/Fzhd0TbyVf4?t=31
八三夭,想见你想见你想见你,China,www.youtube.com/watch?v=DrtlnWn8y_U
五月天&陈绮贞,私奔到月球,China,https://www.youtube.com/watch?v=EIyOz-zY1qc&ab_channel=yuqiliang
莫文蔚,如果没有你,China,https://www.youtube.com/watch?v=9fA6S7uoEIc&ab_channel=%E6%B5%B7%E8%97%8D
曹格,背叛,China,https://www.youtube.com/watch?v=fRvzRqCIBpQ&ab_channel=AiiPhinn
李健,贝加尔湖畔,China,https://www.youtube.com/watch?v=aEGc13-bbS4&ab_channel=Yao
周深,大鱼,China,https://www.youtube.com/watch?v=7gxa0zXDOm8&ab_channel=%E5%9F%8E%E7%8A%ACKTV%E8%A3%BD%E4%BD%9C
梁靜茹,小手拉大手,China,https://www.youtube.com/watch?v=lns2Q0AFBls&ab_channel=%E7%A7%A6%E5%AE%9B%E5%A6%A4
郭顶,水星记,China,https://www.youtube.com/watch?v=odjoNqGV508&ab_channel=testing
